date,pathogen,group,amount
2025-06-08,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2025-06-15,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2025-06-22,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2025-06-29,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2025-07-06,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2025-07-13,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2025-07-20,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2025-07-27,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2025-08-03,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2025-08-10,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2025-08-17,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2025-08-24,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2025-08-31,Mycoplasma pneumoniae,Mycoplasma pneumoniae,3
2025-09-07,Mycoplasma pneumoniae,Mycoplasma pneumoniae,1
2025-09-14,Mycoplasma pneumoniae,Mycoplasma pneumoniae,1
2025-09-21,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2025-09-28,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2022-10-02,Coronavirus HKU-1,Coronavirussen,0
2022-10-09,Coronavirus HKU-1,Coronavirussen,0
2022-10-16,Coronavirus HKU-1,Coronavirussen,0
2022-10-23,Coronavirus HKU-1,Coronavirussen,0
2022-10-30,Coronavirus HKU-1,Coronavirussen,0
2022-11-06,Coronavirus HKU-1,Coronavirussen,0
2022-11-13,Coronavirus HKU-1,Coronavirussen,0
2022-11-20,Coronavirus HKU-1,Coronavirussen,0
2022-11-27,Coronavirus HKU-1,Coronavirussen,0
